{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418836'}, 'Humidity': {'Value': '29.985046'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.205017'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419008'}, 'Humidity': {'Value': '38'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '94'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419013'}, 'Humidity': {'Value': '80'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '-2'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418843'}, 'Humidity': {'Value': '30.018234'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.173546'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418850'}, 'Humidity': {'Value': '29.932213'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.13807'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419019'}, 'Humidity': {'Value': '14'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '24'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418850'}, 'Humidity': {'Value': '29.932213'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.13807'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419024'}, 'Humidity': {'Value': '25'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '79'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418857'}, 'Humidity': {'Value': '29.973888'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.104118'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419029'}, 'Humidity': {'Value': '34'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '51'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418864'}, 'Humidity': {'Value': '30.045128'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.106789'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419034'}, 'Humidity': {'Value': '59'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '108'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418864'}, 'Humidity': {'Value': '30.045128'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.106789'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418871'}, 'Humidity': {'Value': '30.026817'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.072838'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419040'}, 'Humidity': {'Value': '23'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '51'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419045'}, 'Humidity': {'Value': '35'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '98'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418871'}, 'Humidity': {'Value': '30.026817'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.072838'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418878'}, 'Humidity': {'Value': '29.892254'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.100876'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418878'}, 'Humidity': {'Value': '29.892254'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.100876'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419050'}, 'Humidity': {'Value': '95'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '53'}}

{'DeviceId': {'Value': 'sensor'}, 'EpochTime': {'Value': '1637418885'}, 'Humidity': {'Value': '29.911613'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#sensor'}, 'Temperature': {'Value': '24.049377'}}

{'DeviceId': {'Value': 'test'}, 'EpochTime': {'Value': '1637419055'}, 'Humidity': {'Value': '29'}, 'LocationId': {'Value': '45203'}, 'ProjectId': {'Value': 'sensors'}, 'ProjectId#DeviceId': {'Value': 'sensors#test'}, 'Temperature': {'Value': '72'}}

